armenian,phonetic
"պատրաստութիւն","chr."
"դպր.","khorhoort"
"խորհուրդ","khorin"
"խորին","anhas"
"անհաս","anûsgizpn"
"անսկիզբն","vor"
"զարդարեցեր","zartarétsér"
"զվերին","chr."
"պետութիւնդ","takavor"
"յառագաստ","yérgnavor"
"անմատոյց","zégéghétsi"
"լուսոյն","ansharzh"
"գերապանծ","bahya"
"փառօք","yév"
"զդասըս","clb."
"հրեղինաց:","yév"
"դպր.","vasûn"
"թագաւոր","sûrpoohvo"
"երկնաւոր","asdvadzadznin"
"զեկեղեցի","parékhosootyanûn"
"անշարժ","dér"
"պահեա","dcn."
"զերկըրպագուս","soorp"
"անուանըդ","zasdvadzadzinûn"
"քում","yév"
"պահեա","zaménayn"
"խաղաղութեան:","soorpûs"
"քհն.","parékhos"
"քհն.","clb."
"ընկալ","ûngal"
"տէր","dér"
"զաղաչանս","zaghachanûs"
"բարեխօսութեամբ","mér"
"սրբուհւոյ","paré"
"աստուածա-ծնին","khosootyamp"
"անարատ","sûrpoohvo"
"ծնողի","clb."
"ﬕածնի","loor"
"որդւոյ","méz"
"աղաչանօք","dér"
"աﬔնայն","yév"
"սրբոց","voghormya"
"քոց","nérya"
"աւուրս","kavya"
"շնորհիւ:","yév"
"քհն.","togh"
"լուր","ûzméghûs"
"ﬔզ","clb."
"տէր","méghootsyal"
"ողորﬔա","asdoodzo."
"ներեա","khosdovanim"
"քաւեա","arachi"
"թող","asdoodzo"
"զﬔղս","yév"
"ﬔր:","clb."
"արժանաւորեա","kanzi"
"գոհութեամբ","mégha"
"wառաւորել","khorhûrtov"
"զքեզ","paniv"
"ընդ","yév"
"որդւոյ","kordzov"
"ընդ","yév"
"սրբոյ","aménayn"
"հոգւոյդ","dcn."
"այժմ","art"
"ﬕշտ","yégayk"
"յաւիտեանս","aménékyan"
"յաւիտենից։","khonarhyal"
"ամէն:","antsampk"
"քհն.","pégyal"
"մեղուցեալ","sûrdyook"
"քհն.","clb."
"ազատեսցէ","azadéstsé"
"զձեզ","yév"
"մարդասէրն","ûztséz"
"աստուած","martasérn"
"թողցէ","asdvadz"
"զաﬔնայն","yév"
"յանցանս","toghtsé"
"ձեր.","zaménayn"
"տացէ","chr."
"ժամանակ","hishéschir"
"ապաշխարելոյ","yév"
"գործելոյ","ûzméz"
"զբարիս","arachi"
"ուղղեսցէ","anmah"
"զառաջակայ","karinn"
"կեանս","asdoodzo."
"ձեր","clb."
"շնորհօք","hishyal"
"սուրբ","lichik"
"հոգւոյն","arachi"
"հզօրն","anmah"
"ողորմածն","vortvooyn"
"նմա","asdoodzo."
"wառք","acl."
"յաւիտեանս։","aghaghagétsék"
"ամէն:","dér"
"դպր.","aménayn"
"յիշեսջիր","yérgir"
"ըզﬔզ","dzarayétsék"
"առաջի","dyarn"
"անմահ","acl."
"գառինն","arar"
"աստուծոյ:","ûzméz"
"քհն.","yév"
"յիշեալ","voch"
"լիջիք","mék"
"առաջի","éyak"
"անմահ","mék"
"որդւոյն","zhoghovoortk"
"աստուծոյ:","yév"
"դպր.","khashn"
"աղաղակեցէք","acl."
"տէր","khosdovan"
"աﬔնայն","yéghérook"
"երկիր","dyarn"
"ծառայեցէք","yév"
"տեառն","orhnétsék"
"ուրախութեամբ:","zanoon"
"մըտէք","nora."
"առաջի","acl."
"նորա","park"
"ցընծութեամբ","hor"
"ծաներուք","yév"
"տէր","vortvo"
"աստուած","yév"
"դպր.","hokvooyn"
"արար","sûrpo."
"սրկ.","dcn."
"սուրբ","soorp"
"եկեղեցեաւս","yégéghétsyavs"
"աղաչեսցուք","aghachéstsook"
"ըզտէր","ûzdér"
"սովաւ","sovav"
"փըրկեսցէ","pûrgéstsé"
"ըզﬔզ","ûzméz"
"ﬔղաց","clb."
"կեցուսցէ","yév"
"շնորհիւ","kéz"
"ողորմութեան","madootsanémk"
"իւրոյ։","zorhnootyoon"
"աﬔնակալ","yév"
"տէր","ûzparûs"
"աստուած","ûnt"
"ﬔր","hor"
"կեցո","yév"
"ողորﬔա:","ûnt"
"քհն.","dcn."
"քեզ","tad"
"մատուցանեմք","ara"
"զօրհնութիւն","ints"
"զփառս","asdvadz"
"ընդ","yév"
"հօր","irav"
"ընդ","ara"
"հոգւոյդ","ints"
"սրբոյ","tadasdani"
"այժմ","imoom."
"ﬕշտ","clb."
"յաւիտեանս","hazké"
"յաւիտենից։","vor"
"ամէն:","voch"
"մտից","soorp"
"առաջի","marto"
"սեղանոյ","méghavoré"
"աստուծոյ","nénkavoré"
"աստուած","pûrgya"
"ուրախ","zis."
"առնէ","dcn."
"զմանկութիւն","too"
"իմ:","asdvadz"
"սրկ.","hûzorich"
"դատ","és"
"արա","ûntér"
"ինձ","moratsar"
"աստուած","zis"
"իրաւ","ûntér"
"արա","dûrdoom"
