Armenian,Phonetic (Latin)
qշմարիտ,jûshmarid
wառաւորել,paravorél
wառս,pars
wառք,park
Ազատեսցէ,Azadéstsé
Ալէլուիա,Alleluia!
Աղաղակեցէք,arachi
Ամենակալ,aménagal
Ամերիկայի,zinvoryal
Ամէն,Amén
Ամէն։,Amen
Առաջի,Arachi
Առէք,Arék
Աստուած,Asdvadz
Աստուածա,sûrpoohvo
Աստուածածնին,Asdvadzadznin
Աստուծոյ,Asdoodzo
Աստուծոյ։,Asdoodzo
Արբէք,Arpék
Արդ,Art
Արժանաւորեա,Arzhanavorya
Բ³ñ»ËûëáõÃ»³Ùµ,Parékhosootyamp
Բանդ,Pant
Գալոց,Kalots
Գառինն,Asdoodzo
Գառն,badarak
Գոհանամք,Kohanamk
Գոհութիւն,Kohootyoon
ԴՊՐ,CHR
Դասաւորեալ,Tasavoryal
Դատ,Vindicate
Եկեսցէ,Yégéstsé
Եղիաս,Yéghiyas
Եղիցի,Yéghitsi
Ենովք,Yénovk
Երկիւղածութեամբ,Listen
Երկիւղիւ,Yérgyooghiv
Երուսաղէմ,Yéroosaghém
Երրորդութեանդ,Yérrortootyanût
Երրորդութենէն,ûzDér
Եւ,Yév
Եւս,Yévûs
Զի,Zi
Զխաղաղութիւն,Ûzkhaghaghootyoon
Զհաց,hérgri
Զմարմին,Zmarmin
Զսուրբ,Ûzsoorp
Ընթեռնու,Ûntérnoo
Ընկալ,Ûngal
Ըստ,ûnt
Թագաւոր,Takavor
Թող,aysor
Թողութիւն,toghootyoon
Ի,i
Լըցաք,Lûtsak
Լուր,Loor
Խաղաղութեամբ,Khaghaghootyamp
Խոստովանիմ,Khosdovanim
Խորհուրդ,Khorhoort
Կատարումն,Gadaroomn
Կեցո,Gétso
Կիլիկիոյ,ûzdér
ՀԱՆԳԱՆԱԿ,THE
ՀԱՒԱՏԱՑԵԼՈՑ,THE
Հայոց,Médzi
Հայոց։,mercy
Հայր,Hayr
Հաս,Receive
Հաւասարեա,Havasarya
Հաւատամք,Havadamk
Հոգի,Hoki
Հոգիդ,Hokit
Հոգին,Hokin
Հոգւոյդ,Hokvooyt
Հոգւոյն,Hokvooyn
Հոգւովդ,Hokvovût
Հոգւոցն,Hokvotsûn
Հօր,mishd
Հօրէ՝,Horé
Ճաշակեցէք,Jashagétsék
Մատիք,Madik
Մեծի,Danûn
Մեղուցեալ,Méghootsyal
Մեր,Our
Մի՝,Mi
Միանձնացելոց,Be
Միացեալ,Amérigayi
Մինըդ,Yév
Յիշեսջիր,Hishyal
Յիսուս,Hisoos
Յիսուսի,Hisoosi
Յորդանան,Hortanan
ՆԻԿԻԱԿԱՆ,NICENE
Շնորհեսցես,méz
Ողջոյն,Vogchooyn
Որ,Vor
Որդի,Vorti
Որդիդ,Vortit
Որդւոյ,Vortvo
Որպէսզի,Vorbészi
ՊԱՏԱՐԱԳ,DIVINE
Պաշտօնեայք,Bashdonyayk
Պատարագ,Voghormootyoon
ՍՈՒՐԲ,THE
ՍՐԿ,DCN
Սա,sa
Սաղմոս,Saghmos
Սըրբոյ,khaghaghootyan
Սովաւ,Sovav
Սուրբ,Soorp
Սրբոյ,Sûrpo
Սրբով,Sûrpov
Վասըն,vasûn
Վասն,Vasûn
Տանն,Giligyo
Տեառն,Dyarûn
Տէր,Dér
Տէրը՝,Lord
Փառք,yév
ՔՀՆ,CLB
Քահանայք,Kahanayk
Քրիստոս,Krisdos
Քրիստոսի,Krisdosi
Քրիստոս։,Amén
Օրհնեա,Bless
Օրհնեալ,Dér
Օրհնեցէք,him
Օրհնութիւն,Orhnootyoon
ազգ,Hayots
ազգիս,have
ալէլուիա,Alleluia!
ալէլուիա։,Alleluia!
ալէլուք,alélook
աղաչանօք,aghachanok
աղաչեմ,aghachém
աղաչեմք,aghachémk
աղաչեսցուք,aghachéstsook
աղաւնակերպ,aghavnagérb
աղօթակիցս,aghotagitsûs
աղօթեցէք,aghotétsék
ամ,aména
ամենակալ,Aménagal
ամենայն,aménayn
ամենայնի,tséz
ամենասուրբ,aménasoorp
ամենեցուն,aménétsoon
ամենեքեան,aménékyan
ամրացո,amratso
այժմ,ayzhm
այլ,portsootyoon
այս,ays
այսինքն,aysinkn
այսօր,méz
անարատ,anarad
անբաւ,anpav
աներկիւղ,anérgyoogh
անկցուք,angtsook
անհաս,anhas
անհասանելի,anhasanéli
անձամբք,antsampk
անձանց,antsants
անձին։,antsin
անմահ,Vortvooyn
անմահի,anmahi
անմատոյց,anmadooyts
անշարժ,ansharzh
անուանըդ,anvanût
անուն,sûrpaznakooyn
անչափ,anchap
անսկիզբն,anûsgizpn
անվախqան,anvakhjan
անցուսցէ,antsoostsé
անքնին,ankûnin
աշխարհի,ashkharhi
ապաշխարելոյ,abashkharélo
աջմէ,achmé
աջնորդին,méro
առ,ar
առաջի,arachi
առաջնորդն,ûzdér
առատ,arad
առատապէս,aradabés
առաւել,aravél
առաքեա,arakya
առաքելական,arakélagan
առէք,arék
ասացէք,asatsék
ասել,asél
աստուածային,asdvadzayin
աստուածընկալ,asdvadzûngal
աստուածութեանն,asdvadzootyann
արա,me
արասցուք,arastsook
արարած,araradz
արարիչ,ararich
արարչակից,ararchagits
արարչին,ararchin
արդարքըն,artarkûn
արեամբ,aryamp
արեան,aryan
արժանապէս,arzhanabés
արիւն,aryoon
արք,obos
արքայութիւն,arkayooty
արքեպիսկոպոսի,yév
աւուրս,avoorûs
բազմաց,pazmats
բանալ,panal
բանաւոր,panavor
բանիւ,paniv
բաշխելով,Pashkhélov
բաշխի,pashkhi
բաշխիս,pashkhis
բաշխող,pashkhogh
բարբառով,parparov
բարեաց,paryats
բարեգութ,parékoot
բարեխօս,parékhos
բարեխօսութեամբ,paré
բարեխօսութեանն,parékhosootyanûn
բարեջան,arachnortn
բարերարութեամբն,parérarootyampûn
բարձեալ,partsyal
բարձունըս,partsoonûs
բարութեանց,parootyants
բեկեալ,pégyal
բերան,péran
բնակարանըս,pnagaranûs
բնակեցաւ,pnagétsav
գաս,kas
գերապանծ,kérabandz
գըթացեալ,kûtatsyal
գթութիւնդ,kûtootyoont
գիրսն,kirsûn
գոլով,kolov
գոհութեամբ,kohootyamp
գոյ,ko
գործեալ,kordzyal
գործելոյ,kordzélo
գործեն,kordzén
գործով,kordzov
դասուն,tasoon
դատաստանըն,tadasdanûn
դատաստանի,an
դատաւոր,tadavor
դատել,tadél
դըպիրք,tûbirk
դու,too
դրախտին,trakhdin
դրունս,troons
եդեմական,yétémagan
ելեալ,yélyal
ելէք,yélék
եկայք,yégayk
եկեղեցեաց,yégéghétsyats
եկեղեցեաւս,yégéghétsyavs
եկեղեցի,yégéghétsi
եկեղեցւոյ,yégéghétsvo
եղբարք,yéghpark
եղիցի,yéghitsi
եղիցին,ko
եմ,ém
են,én
ենայն,ynHayots
եպիսկոպոս։,Shnorhéstsés
ես,és
ետուր,yédoor
երգել,yérkél
երգըք,yérkûk
երգովք,yérkovk
երկայն,avoorûs
երկիր,zi
երկիրպագանեմք,yérgirbakanémk
երկիրպագանեմք։,yérgirbakanémk
երկիրպագանեն,yérgirbakanén
երկիրպագեսցուք,ko
երկիւղիւ,yérgyooghiv
երկնային,yérgnayin
երկնաւոր,yérgnavor
երկնաւորըդ,yérgnavorût
երկնից,yérgnits
երկրպագուս,yérgûrbakoos
երրեակ,yérryag
եւ,yév
եւըս,have
զwառակցի,zparagtsi
զԱստուածածինըն,zAsdvadzadzinûn
զԱւետարանն,zAvédaranûn
զՈրդիդ,zOrtit
զաղաչանս,zaghachanûs
զամենայն,zaménayn
զառաջակայ,zarachaga
զարարածըս,zararadzûs
զարդարեցեր,zartarétsér
զարիւն,zaryoon
զարիւնդ,zaryoont
զբանս,ûzpans
զբարիս,ûzparis
զգթութիւն,ûzkûtootyoon
զդասըս,ztasûs
զեկեղեցի,zégéghétsi
զեպիսկոպոսապետն,zébisgobosabédûn
զերգըս,zérkûs
զերգս,zérks
զերկըրպագուս,zérgûrbakoos
զըղձալի,zûghtsali
զթողութիւն,ûztoghootyoon
զժառանգութիւնս,ûzzharankootyoonûs
զժողովուրդս,ûzzhoghovoortûs
զի,zi
զինուորեալ,notsa
զլրումն,ûzlûroomûn
զխաղաղութիւն,zkhaghaghootyoon
զխորհուրդ,zkhorhoort
զհաստատութիւն,zhasdadootyoon
զհոգիս,zhokis
զհրաշալի,ûzhrashali
զձեզ,ûztséz
զճաշու,ûzjashoo
զմեզ,ûzméz
զմեղս,ûzméghûs
զյաղԹող,ûzhaghtogh
զյաղթող,ûzhaghtogh
զյարուԹիւնդ,ûzharootyoonût
զյարութիւնդ,ûzharootyoonût
զողորմութիւն,zoghormootyoon
զոր,zor
զորս,zors
զպատուական,ûzbadvagan
զվերին,zvérin
զտէր,dér
զցասումն,ûztsasoomûn
զփառս,ûzparûs
զքեզ,ûzkéz
զօրհնուԹիւն,zorhnootyoon
զօրհնութիւն,zorhnootyoon
զօրութեանց,zorootyants
զօրսն,zorsûn
է,é
էջն,échn
էք,ék
ըզՏէր,ûzDér
ըզբերանըս,ûzpéranûs
ըզլոյս,ûzlooys
ըզկենդանիս,ûzgéntanis
ըզհոգեւոր,ûzhokévor
ըզձայն,ûztsayn
ըզմարմին,ûzmarmin
ըզմարմինդ,ûzmarmint
ըզմեզ,arachi
ըզմեռեալս,ûzméryals
ըզպատարագըս,madootsané
ըզպարտիս,méz
ըզսա,ûzsa
ըզսէր,ûzsér
ըզքեզ,ûzkéz
ըզքէն,ûzkén
ընդ,ûnt
ընդհանրական,ûnthanragan
ընդունիլ,ûntoonil
ընթեռնուն,ûntérnoon
ընկալ,ûngal
ըստ,ûsd
թագաւորաց,krisdonéyits
թագաւորիս,takavoris
թագաւորութեանըն,takavorootyanûn
թերահաւատից,térahavadits
թող,togh
թողութիւն,toghootyoon
թողումք,mék
թողցէ,toghtsé
ժամանակ,zhamanag
ժողովին,zhoghovin
ժողովուրդս,zhoghovoortûs
ժողովուրդք,zhoghovoortk
ի,i
իմ,im
իմում,ungodly
ինձ,O
իշխանութիւն,yév
իջեալ,ichyal
իս,yév
իրաւ,defend
ից,takavorats
իւն,yoon
իւր,yoor
իւրոյ։,yooro
իւրով,yoorov
լացցուք,latsook
լեր,Lord
լըցեր,lûtsér
լըւարուք,in
լից,lits
լոյս,looys
լուսոյ,looso
լուսոյն,loosooyn
խաղաղութեան,khaghaghootyan
խնդրեցէք,khûntrétsék
խոնարհեալ,khonarhyal
խորին,khorin
խորհըրդով,khorhûrtov
խորհուրդս,khorhoorts
խորհրդականաւ,khorhûrtaganav
խորհրդոյս,khorhûrtooys
խօսեցաւ,khosétsav
ծառայեցէք,na
ծառայից,supplication
ծերացեալ,dzératsyal
ծընեալն,dzûnyaln
ծընունդ,dzûnoont
ծնին,Asdvadzadznin
ծնողի,dzûnoghi
կþըսէ,says
կաթ,igos
կամեցեալ,gamétsyal
կամք,Yéghitsin
կան,gan
կառս,garûs
կատարեալն,gadaryaln
կատարես,gadarés
կարդալ,gartal
կարողութիւնդ,garoghootyoonût
կարողք,garoghk
կեանս,gyanûs
կեանսըն,gyansûn
կեանք,gyank
կենաց,génats
կենդանեաց,géntanyats
կենդանութեան,géntanootyan
կերակուր,géragoor
կերակրես,géragrés
կերակրեցեր,géragrétsér
կերակրողիդ,géragroghit
կերէք,gérék
կեցո,gétso
կեցուսցէ,gétsoostsé
հաղորդեցարուք,haghortétsarook
հաղորդիլ,haghortil
հաճեցար,hajétsar
համարձակաձայն,hamartsagatsayn
համբոյր,hampooyr
հայրակամ,hayragam
հայրապետն,hayrabédn
հայրապետութեան,yév
հայցեմք,haytsémk
հանապազ,hanabaz
հանապազորդ,mér
հանգիստ,hankisd
հանգո,hanko
հանգուցելոց,hankootsélots
հանդերձ,hantérts
հանրապետութեան,azkis
հաշտութիւն,hashdootyoon
հարք,hark
հաց,hats
հաւատով,havadov
հեղանի,héghani
հեղմամբ,héghmamp
հզօրն,hûzorûn
հոգեւորս,hokévors
հոգեւորք,hokévork
հոգւոյդ,your
հոգւով,hokvov
հոգւոց,hokvots
հոգւոցըն,hokvotsûn
հրեղինաց,hréghinats
հրեշտակաց,hréshdagats
հօտի,hodi
ձայնիւ,tsayniv
ձեռըն,tsérûn
ձեռօք,tsérok
ձեր,tsér
ձեր`,tsér
ճաշակելով,jashagélov
ճաշակեսցուք,jashagéstsook
ճշմարիտ,jûshmarid
ճշմարտէ,jûshmardé
ճշմարտութեամբ,jûshmardootyamp
մահ,mah
մանկանց,yév
մատիք,madik
մատուցանեմք,madootsanémk
մատչի,khaghaghootyoon
մարգարէից,markaréyits
մարգարէս,markarés
մարդասէր,martasér
մարդասէրն,martasérn
մարդասիրութեանդ,martasirootyanût
մարդիկ,martig
մարդկանէ,martgané
մարմին,marmin
մարմնոյ,marmno
մարմնովն,marmnovn
մարմնովն՝,marmnovn
մարմնոց,marmnots
մեզ,méz
մեզ՝,méz
մեղայ,mégha
մեղաց,méghats
մեղաւորացս,méghavoratsûs
մեղս,méghûs
մեղօք,méghok
մեռելոց,mérélots
մեռելոց։,mérélots
մեր,mér
մերձեսցի,mértséstsi
մերձեցելոցս՝,mértsétsélotsûs
մերոյ,méro
մերոց,mérots
մերում,méroom
մեք,yév
մէնջ,ménch
մէջ,méch
մըկըրտութիւն,mûgûrdootyoon
մի,mi
մի՝,mi
միածին,miyadzin
միածնի,miyadzni
միայն,miyayn
միասնական,miyasnagan
միմեանց,mimyants
մինչեւ,minchév
միշտ,mishd
միջի,michi
միտս,midûs
մի’,Yév
յԱստուծոյ,hAsdoodzo
յԵրուսաղէմ,hÉroosaghém
յՈրդին,hOrtin
յաղագս,haghakûs
յամենայն,haménayn
յայսըմհետէ,haysûmhédé
յանդատապարտութ,hantadabardoot
յանեղն,hanéghn
յանէից,hanéyits
յանմահական,hanmahagan
յանմաքրից,hanmakrits
յանցանաց,hantsanats
յանցանաց։,hantsanats
յանցանս,hantsanûs
յապաշխարողաց,habashkharoghats
յապաշխարութիւն,habashkharootyoon
յաջակողմեան,hachagoghmyan
յառագաստ,harakasd
յառաջ,harach
յառաքեալսըն,harakyalsûn
յաստուածային,hasdvadzayin
յարենէ,haréné
յարութիւն,harootyoon
յարքայութիւնըն,harkayootyoonûn
յաւետարանս,havédarans
յաւիտեան,havidyan
յաւիտեանս,havidyanûs
յաւիտեանս։,havidyanûs
յաւիտեան։,havidyan
յաւիտենականըս,havidénaganûs
յաւիտենից,havidénits
յաւիտենից։,havidénits
յերախայից,hérakhayits
յերկինըս,hérginûs
յերկինս,hérgins
յերկնից,hérgnits
յերկրի,yév
յէութենէ,héyooténé
յիշատակ,and
յոյս,hooys
յորժամ,horzham
յորում,horoom
յուսով,hoosov
յօգնութիւն,our
յօրէնըս,horénûs
նահանգացն,yév
նայեաց,nayyats
ներեա,nérya
նընջեցեալսըն,nûnchétsyalsûn
նընջեցելոց,nûnchétsélots
նընջեցելոց։,nûnchétsélots
նըստաւ,nûsdav
նմա,nûma
ննջեցելոցն,nûnchétsélotsn
նշանացս,nûshanatsûs
նոսին,nosin
նովին,novin
նորա,nora
նորոյ,noro
նոցա,aménayn
նստի,nûsdi
շնորհեա,shnorhya
շնորհիւ,shnorhiv
շնորհօք,shnorhok
ողիկոս։,yév
ողորմած,voghormadz
ողորմածն,voghormadzûn
ողորմեա,voghormya
ողորմեա։,voghormya
ողորմեսցի,voghorméstsi
ողորմութեան,voghormootyan
ողորմութիւն,voghormootyoon
ողորմութիւնդ,voghormootyoonût
ոչ,voch
որ,vor
որոյ,voro
որում,voroom
որպէս,ko
որք,vork
ուխտի,ookhdi
ուղիղ,vartabédootyamp
ուղղեսցէ,Ooghghéstsé
ուր,oor
ուրախութեամբ,Dér
ոք,vok
չարէ,charé
պահեա,bahya
պայծառացեալ,baydzaratsyal
պայծառացո,baydzaratso
պաշտեն,bashdén
պաշտօնեայք,bashdonyayk
պատարագեալ,badarakyal
պատարագիս,badarakis
պատիւ,ayzhm
պատուական,badvagan
պատուհասի,badoohasi
պարգեւեա,barkévya
պարգեւեսցես,barkévéstsés
պարտապան,bardaban
պարտապանաց,mérots
պարտեաց,bardyats
պետութիւնդ,bédootyoont
պըսակիչդ,bûsagicht
սա,sa
