Armenian,Phonetic (Latin)
wառաւորել,paravorél
ազատեսցէ,azadéstsé
ազգ,Azk
ազգիս,Azkis
աժմ,ajum
ալէլուիա,alleluia
ալէլուք,alélook
աղաղակեցէք,aghaghagetsek
աղաչանօք,aghachanok
աղաչեմ,aghachém
աղաչեմք,aghachémk
աղաչեսցուք,aghachéstsook
աղաւնակերպ,aghavnagérb
աղօթակիցս,aghotagitsûs
աղօթեցէք,aghotétsék
ամենա,aména
ամենակալ,aménagal
ամենայն,aménayn
ամենայնի,Amenayneh
ամենասուրբ,aménasoorp
ամենեցուն,aménétsoon
ամենեքեան,aménékyan
ամերիկայի,Amerigayi
ամէն,amén
ամրացո,amratso
այլ,portsootyoon
այս,ays
այսինքն,aysinkn
այսօր,Aysor
անարատ,anarad
անբաւ,anpav
աներկիւղ,anérgyoogh
անկցուք,angtsook
անհաս,anhas
անհասանելի,anhasanéli
անձամբք,antsampk
անձանց,antsants
անձին,antsin
անմահ,vortvooyn
անմահի,anmahi
անմատոյց,anmadooyts
անշարժ,ansharzh
անուանըդ,anvanût
անուն,anoon
անչափ,anchap
անսկիզբն,anûsgizpn
անվախqան,anvakhjan
անցուսցէ,antsoostsé
անքնին,ankûnin
աշխարհի,ashkharhi
ապաշխարելոյ,abashkharélo
աջմէ,achmé
առ,ar
առաջի,arachi
առաջնորդն,Arachnortn
առատ,arad
առատապէս,aradabés
առաւել,aravél
առաքեա,arakya
առաքելական,arakélagan
առէք,arék
ասացէք,asatsék
ասել,asél
աստուած,asdvadz
աստուածածնին,asdvadzadznin
աստուածային,asdvadzayin
աստուածընկալ,asdvadzûngal
աստուածութեանն,asdvadzootyann
աստուծոյ,asdoodzo
արա,ara
արասցուք,arastsook
արարած,araradz
արարիչ,ararich
արարչակից,ararchagits
արարչին,ararchin
արբէք,arpék
արդ,art
արդարքըն,artarkûn
արեամբ,aryamp
արեան,aryan
արժանապէս,arzhanabés
արժանաւորեա,arzhanavorya
արիւն,aryoon
արք,obos
արքայութիւն,arkayooty
արքեպիսկոպոսի,Arkebisgobosi
աւուրս,avoorûs
բարեխոսութեամբ,parékhosootyamp
բազմաց,pazmats
բանալ,panal
բանաւոր,panavor
բանդ,pant
բանիւ,paniv
բաշխելով,pashkhélov
բաշխի,pashkhi
բաշխիս,pashkhis
բաշխող,pashkhogh
բարբառով,parparov
բարեաց,paryats
բարեգութ,parékoot
բարեխօս,parékhos
բարեխօսութեանն,parékhosootyanûn
բարեջան,Parechan
բարերարութեամբն,parérarootyampn
