# Manual Page Alignment
# Listen to the audio and mark when each page starts
# Format: pageNumber,timestamp(seconds),confidence(0-1)

# Example:
# 1,0.0,1.0
# 2,28.5,0.9
# 3,55.2,0.95

1,0,0.5  # Estimate - ՊԱՏՐԱՍՏՈՒԹԻՒՆ ՈՏՔԻ
2,28,0.5  # Estimate - ԴՊՐ. Խորհուրդ
3,57,0.5  # Estimate - ԴՊՐ. Թագաւոր
4,85,0.5  # Estimate - ՔՀՆ. վասն
5,114,0.5  # Estimate - ՍՐԿ. Սուրբ
6,143,0.5  # Estimate - ՔՀՆ. Ընկալ,
7,171,0.5  # Estimate - ՔՀՆ. Լուր
8,200,0.5  # Estimate - ՔՀՆ. Մեղուցեալ
9,228,0.5  # Estimate - ՔՀՆ. քանզի
10,257,0.5  # Estimate - ՍՐԿ. եկայք

# ... continue for all 183 pages
